,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,1.7997188583154768e-10,1.4672337345068612e-08,2.1281113461278055e-10,1.5851302336435982e-08
1,0.5,8.288685781278626e-11,7.604514658649758e-08,1.31844352804567e-10,7.580128484546147e-08
2,1.0,8.209623445040886e-13,4.704968910878646e-08,5.350971284627468e-11,4.659347261727196e-08
3,1.5,1.7276992931545628e-11,2.5164762451022318e-08,8.536725804983482e-11,2.7016608205083495e-08
4,2.0,2.491264599709581e-10,1.4090655007447872e-08,3.647660597934722e-10,1.462758093246715e-08
5,2.5,2.174106335395422e-09,1.0596113290582813e-08,2.3743834166176917e-09,1.112510463548185e-08
6,3.0,1.0373545597367435e-08,1.1175196540633198e-08,1.0597726613577163e-08,1.1223729274908098e-08
7,3.5,3.190351943713715e-08,1.165072730242133e-08,3.213259832371778e-08,1.1907564767112234e-08
8,4.0,6.055564850109852e-08,1.2445171373829746e-08,5.9472226468748e-08,1.2418162475611562e-08
9,4.5,7.886216445063392e-08,1.5531923179605966e-08,7.840634643917665e-08,1.546720772889908e-08
10,5.0,5.686108009445236e-08,2.1283028279102155e-08,6.172554417181478e-08,2.1664287445435612e-08
11,5.5,4.329922616130035e-08,2.248877279643836e-08,4.392480430646712e-08,2.2075110466686655e-08
12,6.0,3.053213556523484e-08,1.4914120163317907e-08,2.9554338698676827e-08,1.4837242872895591e-08
13,6.5,2.0704570773180662e-08,8.540910425323765e-09,2.0903222498024866e-08,8.276067084259288e-09
14,7.0,1.516892714658655e-08,3.4482972332203804e-09,1.5201115518343713e-08,3.553795373713917e-09
15,7.5,1.2089707912847087e-08,1.18723589431183e-09,1.2547841909787563e-08,1.2968783909541665e-09
16,8.0,1.1642526142991197e-08,5.345939230143533e-10,1.2623506756029416e-08,5.979890222425922e-10
17,8.5,1.624303723096704e-08,4.067588805162004e-10,1.7458613257471523e-08,4.0588048485681487e-10
18,9.0,3.852773658583859e-08,3.407480062458814e-10,4.026859404824555e-08,3.370415315983472e-10
19,9.5,1.3739756781416602e-07,3.0538153026909806e-10,1.3973171804074176e-07,3.015185663156784e-10
20,10.0,2.1484147501381335e-07,3.264396934610668e-10,2.152252504871299e-07,3.238088167752796e-10
21,10.5,6.419974927851213e-08,2.893123659542211e-10,6.4397219753464e-08,2.9888345271504786e-10
22,11.0,3.784132616319388e-09,2.489064819022943e-10,3.808017662675489e-09,2.5366494259842547e-10
23,11.5,2.2234424159609586e-10,2.0154646449986878e-10,2.3182852652837224e-10,1.9628406182000002e-10
24,12.0,2.0522159353335103e-11,1.5983624081352478e-10,2.5794912964445665e-11,1.5464154312198511e-10
25,12.5,2.3270081289824513e-12,1.1302842146575744e-10,5.571452314925938e-12,1.1076511281840529e-10
26,13.0,6.285073283671652e-13,7.760059966808126e-11,2.680656931541189e-12,8.348068688006775e-11
27,13.5,1.6902832362690442e-13,6.220546555514174e-11,1.874370635837093e-12,6.542508232181297e-11
28,14.0,6.507563971298086e-14,5.1333212212716433e-11,1.5374446599262508e-12,5.302506896194221e-11
29,14.5,3.4775463749166523e-14,4.0980043136271236e-11,1.4832614136836113e-12,4.267666055557057e-11
30,15.0,1.6240434372531957e-14,3.5421319744181825e-11,1.4357880347819101e-12,3.4729308997951204e-11
31,15.5,7.89680941448793e-15,3.120486103058694e-11,1.3801542338860832e-12,3.081358145068861e-11
