,welch_2,welch_10,welch_15,welch_20,welch_25,welch_30,welch_35
0,1.1190324199753765e-05,2.2666195673131147e-05,4.770542969060552e-05,9.437267944198549e-05,0.00016643500319878587,8.987004892453908e-06,1.5845686301686832e-05
1,6.942594474449182e-05,0.00012369247121878663,0.00024586674417077185,0.0004433799099110034,0.0007544016843190247,0.0005060426437016884,0.0005625940345464505
2,5.717059851873748e-05,0.000100312120937376,0.0002123998157128838,0.00043821623672865166,0.000748580050997598,0.0005985629275054803,0.0004713120898351059
3,4.471484586867439e-05,6.003180835606872e-05,0.00010393731971096355,0.0002628130479552527,0.00043489143561814683,0.0003266577010758651,0.00045202263544976844
4,3.19112479442547e-05,3.712964086791568e-05,5.631624845175142e-05,0.00014581169725880604,0.0003166449578118843,7.039534390738551e-05,7.4484725955096e-05
5,1.4115007421984556e-05,1.8878160415691396e-05,2.935907399451617e-05,6.067833305057947e-05,9.033061005213507e-05,0.00011703173762929815,0.0002725879082690234
6,6.9020596143835515e-06,1.0785793617587348e-05,1.731255677231638e-05,2.2886264913632135e-05,2.8016181557285083e-05,0.00010330004311233701,0.00015850887606146113
7,3.6369999417886497e-06,6.652698240602303e-06,1.00626559004251e-05,1.1631610627529183e-05,4.2713143601229394e-05,5.862052344170421e-05,7.98584860012438e-05
8,2.238600195660554e-06,3.4969602816694135e-06,6.6498166676573525e-06,6.7597927834335875e-06,1.2172318557841723e-05,1.0537798432863694e-05,8.92057958864181e-06
9,1.4238459690628232e-06,2.246229826875605e-06,4.682933462319689e-06,4.929895782549712e-06,3.723073245534159e-06,8.5117076671245e-06,4.333603879902519e-06
10,1.1564270274737408e-06,1.539938292847218e-06,2.8692227842060552e-06,3.771472265116364e-06,5.109007257690408e-06,4.3956036383926495e-06,2.6498492730129473e-06
11,8.968494109396606e-07,1.1134263399020907e-06,1.816321472298284e-06,3.438081190410813e-06,2.900430794528784e-06,6.536979645399507e-06,1.5733744730321444e-06
12,4.217435987938173e-07,8.905385886740766e-07,1.1840508600446919e-06,2.6897424366063643e-06,4.044087931021159e-06,2.065854090333837e-06,8.386597656091326e-08
13,1.900210389821315e-07,5.998958650715157e-07,9.754318361163163e-07,1.5463388456241232e-06,1.4610851437962697e-06,2.104543634022739e-06,3.0506250963211424e-06
14,1.0646072230924262e-07,3.390571783571625e-07,7.023096857949043e-07,6.844689380078376e-07,1.3002794291699636e-06,3.000877424283202e-06,2.0915827823204254e-06
15,7.219130352254748e-08,2.0383215145052546e-07,3.725763517851429e-07,7.08808027634925e-07,6.924202007993084e-07,1.1782219155045697e-06,7.621024946421022e-07
16,5.4381795426108845e-08,1.6152913628718062e-07,3.740325852478696e-07,1.0984871065581335e-06,8.080043772774375e-07,4.888659613548866e-07,7.704072617635412e-07
17,3.955619162664827e-08,1.3627335018239864e-07,3.1544363959905674e-07,4.774864684033335e-07,8.526036754967052e-07,4.9302983719539e-07,3.666538015948337e-07
18,2.981061361581355e-08,8.708614200867735e-08,1.8121419086404412e-07,2.1440222868119684e-07,4.647800757599514e-07,2.2046911704534587e-07,3.8134355406536773e-07
19,2.2049356298935674e-08,7.067785872620283e-08,1.4729856641260848e-07,3.175052222065062e-07,3.68772138931815e-07,4.083624712585632e-07,1.0106396730400845e-06
20,1.578190822862888e-08,7.032504403976776e-08,1.0518895838670178e-07,1.1756319446768188e-07,3.0091624239405195e-07,4.856888081857105e-07,4.958424076474566e-07
21,1.4888442263683766e-08,4.946015188240999e-08,1.3402635400130446e-07,1.485104077635905e-07,1.713584006069483e-07,3.7590102476889557e-07,8.114273443895144e-08
22,1.1407801190665048e-08,4.0592301925470664e-08,9.153553895974145e-08,1.3920405226703694e-07,1.5972913716379696e-07,2.487238659491877e-07,1.6886851207560045e-07
23,8.970177066249478e-09,3.189087564244941e-08,5.710167729239853e-08,8.62093120319122e-08,1.7654229519953855e-07,1.2068579879626903e-07,4.233498779930827e-08
24,6.7288787932461535e-09,2.8681094558782058e-08,5.243609681520414e-08,8.927196586880224e-08,3.1325668468922306e-07,8.893541884376995e-08,1.9157062742297182e-07
25,6.343270601333579e-09,2.5127101106939497e-08,4.377157906629664e-08,6.106352985872659e-08,1.0554889432671443e-07,2.2030800362756764e-07,5.978146981858172e-07
26,5.330694238544835e-09,2.062676862101881e-08,3.495134273002277e-08,5.350581865692916e-08,9.056960704523103e-08,2.500649866688761e-07,9.939177121053137e-08
27,4.7190954525788065e-09,1.8293528765363387e-08,3.689346303440382e-08,7.16324528121208e-08,6.583618675247585e-08,2.022301239821231e-07,7.267940695560532e-08
28,3.8766088619741036e-09,1.4703820215912989e-08,2.613895099068984e-08,5.4877043206610824e-08,7.794892464295634e-08,1.0218627977232462e-07,2.0102611389286102e-08
29,3.04459981642932e-09,1.418880912590082e-08,2.5280477009383188e-08,3.7729762357903374e-08,2.5039854928766347e-08,7.233512699961795e-08,1.3746873137799655e-09
30,2.6592950952704445e-09,1.1760332889523522e-08,3.087771985218566e-08,4.230820460670027e-08,7.419647548659907e-08,6.195711941587178e-09,1.0022336815026353e-07
31,2.680900516046541e-09,9.858465293389287e-09,2.1311438034019082e-08,4.0402454187539016e-08,5.040993426270421e-08,4.229566590068555e-08,1.895553805778206e-07
32,2.37243304746239e-09,9.71478174767442e-09,1.52001791922717e-08,3.367226810027737e-08,2.2487251086814493e-08,2.419921566131914e-08,5.456848123198766e-08
33,2.054564738423976e-09,8.273759965184793e-09,1.4773062241237188e-08,2.701991479887793e-08,3.66399418642756e-08,3.247226762487645e-08,1.3503117129644773e-08
34,1.6404466158518225e-09,6.262424931182876e-09,1.5307609746842484e-08,1.8939054086568116e-08,5.419736553837559e-08,3.6047645187436846e-08,9.825627521786788e-09
35,1.5922639543537786e-09,6.783753782458791e-09,1.4254867822371419e-08,2.0162389895419632e-08,4.1527822769111226e-08,7.419143908515142e-08,2.2984261643295106e-08
36,1.3410696774586377e-09,6.068502216727534e-09,9.594654395247627e-09,1.4366056995553703e-08,4.001537099302701e-08,4.789660973001965e-08,3.5283863340560495e-08
37,1.2824136305220975e-09,5.1991234036524395e-09,8.024919298765484e-09,2.7596226736088e-08,2.6904573620569508e-08,1.1974417808918558e-08,4.2216653275739544e-08
38,1.264624406130262e-09,4.511509789408302e-09,9.078135006383406e-09,2.020682533788465e-08,2.667237564908893e-08,3.132332641906462e-08,1.3562942330920574e-08
39,1.0623875096125227e-09,4.632597691099872e-09,8.570887194882108e-09,1.058257510093283e-08,1.0034422894657801e-08,9.59315896027655e-09,5.796876847318418e-09
40,8.944359253056258e-10,3.5163066374203138e-09,8.366046940262927e-09,1.501963476257438e-08,3.021398264316127e-08,1.529200368406283e-08,7.39287046888207e-10
41,8.453268942295191e-10,3.1468742902834374e-09,7.50758216154247e-09,1.148928213539226e-08,2.928934259984261e-08,2.0274096932852712e-08,1.7487495099610488e-08
42,8.383609178642067e-10,3.2412399966487624e-09,5.8855814136356384e-09,1.0491778775817391e-08,1.6693958919876798e-08,3.5267690666201514e-08,2.87205352223863e-08
43,7.645203374937888e-10,3.304799571310188e-09,5.6665872981411535e-09,1.0640498733307299e-08,1.149534656448744e-08,1.152612070705882e-08,8.094828154278682e-09
44,7.252672163565293e-10,2.85435913373021e-09,5.1546289047885276e-09,1.0912040108364617e-08,6.402696695287017e-09,1.95265219190343e-09,8.42522152707805e-09
45,6.540746034433074e-10,2.597248341064953e-09,4.403875522077476e-09,7.046731014161857e-09,9.48534924529014e-09,1.1252865816183117e-08,1.2350115117133415e-08
46,5.347918910026192e-10,1.9738144577145143e-09,3.742167217464493e-09,1.2625872789838094e-08,1.3993690103533421e-08,6.6421780568994065e-09,6.475793380571555e-09
47,5.689478038040178e-10,2.4805937367877038e-09,5.296436430231965e-09,5.910430359560491e-09,9.213599041449859e-09,1.2288481152053313e-08,6.695322106545513e-09
48,5.242390771556494e-10,2.0046364938179225e-09,4.325437293169663e-09,8.247113354450986e-09,1.4600664553911806e-08,1.2519359552690593e-08,9.575370496408665e-09
49,4.715330663663124e-10,2.0624680652617263e-09,3.652113277560625e-09,7.586703593646633e-09,6.4898561995047945e-09,1.2467760229427328e-08,1.2554671995723152e-08
