,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,1.7539523482899484e-10,1.743654595421907e-08,1.9854479336775006e-10,1.6435535895588022e-08
1,0.5,1.495456454187091e-10,1.0882785207084387e-07,1.8816703642223859e-10,1.090634057042723e-07
2,1.0,9.842408524939752e-12,6.14661731965656e-08,3.4025370723434154e-11,6.18247715259786e-08
3,1.5,2.151274701796807e-11,2.7572379901855056e-08,5.102542269304451e-11,2.79212357503829e-08
4,2.0,2.0410757312006345e-10,1.8298054666088373e-08,2.4414855900555155e-10,1.814809697729582e-08
5,2.5,1.6867130797102497e-09,1.2462280463053448e-08,1.8103769207328413e-09,1.250087511529202e-08
6,3.0,1.0166426722618374e-08,1.014309058579608e-08,1.0462887797449633e-08,1.0498494008774599e-08
7,3.5,3.663007634790401e-08,1.0455209835502406e-08,3.638642426166952e-08,1.0467029959239615e-08
8,4.0,7.117770403868774e-08,1.1096986579149142e-08,7.32283025709659e-08,1.1173336025111201e-08
9,4.5,1.059910667095504e-07,1.4510932892069217e-08,1.056060803101506e-07,1.4588769119454666e-08
10,5.0,7.824448867697795e-08,1.651197873830122e-08,7.997688687396855e-08,1.6508779836437046e-08
11,5.5,6.291924449128012e-08,1.8171610212114676e-08,6.27329898559792e-08,1.8198936315747316e-08
12,6.0,2.7660346365279933e-08,1.2825809876254134e-08,2.7528764242787292e-08,1.2559906149059307e-08
13,6.5,2.083442440488296e-08,7.360722887542109e-09,2.1367015596532492e-08,7.2360450830227074e-09
14,7.0,1.8121800423271632e-08,2.927801626897093e-09,1.7572566521840735e-08,2.962064847159412e-09
15,7.5,1.1727835666542392e-08,9.38751970870389e-10,1.2163490529034566e-08,9.515770057640737e-10
16,8.0,1.1679371251292792e-08,4.0638660011725805e-10,1.1551439367705482e-08,4.240046096914579e-10
17,8.5,1.820706906551482e-08,3.220989457058484e-10,1.803835096324752e-08,3.161234923961675e-10
18,9.0,3.09007862041706e-08,2.8676302407648473e-10,3.206458405849771e-08,2.7923176381538454e-10
19,9.5,1.0273800920238452e-07,2.5948120732674565e-10,1.0448015852583092e-07,2.6689288640613e-10
20,10.0,1.89450926687334e-07,2.793719332435148e-10,1.8924891187749783e-07,2.80105844934307e-10
21,10.5,5.0407335235203824e-08,2.6225995808090273e-10,5.0139012986688094e-08,2.5683514900969556e-10
22,11.0,2.476951076372242e-09,2.1503554072214635e-10,2.5683423976967054e-09,2.1134066681107735e-10
23,11.5,1.5388453658742867e-10,1.7453531195100636e-10,1.6033211086593174e-10,1.7110908924780563e-10
24,12.0,2.9285549773325945e-11,1.3935093128898846e-10,3.0742072597607544e-11,1.3886703787840485e-10
25,12.5,1.0058303465034932e-11,9.716997397796522e-11,1.0307675637163611e-11,9.407105524032713e-11
26,13.0,8.2738021571844e-12,6.270251338507554e-11,8.384996070503817e-12,6.270978338432908e-11
27,13.5,6.73016066475237e-12,4.784177982731637e-11,6.85506929720462e-12,4.7421590096707265e-11
28,14.0,5.779447186055683e-12,3.791608640485584e-11,5.90298217891446e-12,3.7266553692734345e-11
29,14.5,5.007856782179554e-12,3.5603788364009095e-11,5.064620922918799e-12,3.511590629106098e-11
30,15.0,4.357886292497664e-12,3.3157877322609745e-11,4.5129387723416726e-12,3.224239910507349e-11
31,15.5,3.837169891866912e-12,2.915831626512083e-11,3.951385934829322e-12,2.9486713398300256e-11
32,16.0,3.4116825154001915e-12,2.353150114448128e-11,3.5720699022997573e-12,2.395577053442052e-11
33,16.5,3.0609824538788227e-12,2.2614101325053755e-11,3.3035600587477174e-12,2.3127008184190604e-11
34,17.0,2.766889294544469e-12,2.0745805692135294e-11,2.8787074202029e-12,2.0349617321781725e-11
35,17.5,2.5128823331586878e-12,1.655503419055159e-11,2.712334957711931e-12,1.6280467869285895e-11
36,18.0,2.2979596522366356e-12,1.3210323666612903e-11,2.4513742174477626e-12,1.2759677996861113e-11
37,18.5,2.1064011551327327e-12,1.0920193086386941e-11,2.290680230157944e-12,1.085807257397849e-11
38,19.0,1.9408826221578716e-12,1.0012583144354238e-11,2.1779333819594846e-12,9.3677080347224e-12
39,19.5,1.8092553883727887e-12,8.575295956664429e-12,1.9556086435714613e-12,8.417131296337999e-12
40,20.0,1.7163571600060472e-12,7.960782819961032e-12,1.9830799071109458e-12,7.959005594807363e-12
41,20.5,1.5444129487081937e-12,6.955073166470025e-12,1.6337417655643318e-12,6.46834728803784e-12
42,21.0,1.4573061644875815e-12,6.222781321326277e-12,1.6628884969707735e-12,6.470114546614448e-12
43,21.5,1.3655775007751273e-12,5.475009244679562e-12,1.5251815699806493e-12,5.601190701504622e-12
44,22.0,1.280185064205525e-12,4.937232580952776e-12,1.4489403741306004e-12,5.1170975772217884e-12
45,22.5,1.2066819840618953e-12,4.825042485053855e-12,1.3715462410073078e-12,4.5802008650115775e-12
46,23.0,1.1382448712555939e-12,4.271408099333833e-12,1.3341678814989383e-12,4.1696889102285826e-12
47,23.5,1.0764458488674405e-12,3.8262381160617555e-12,1.1980053701605275e-12,3.88864512201051e-12
48,24.0,1.0194547157139216e-12,3.3489744850175734e-12,1.213139556839124e-12,3.1416910229363915e-12
49,24.5,9.67360946574879e-13,2.8357017845622264e-12,1.090200485309098e-12,2.845786332196669e-12
50,25.0,9.192872985002414e-13,2.73621351007833e-12,1.0525357022502653e-12,2.74436569176474e-12
51,25.5,8.749217393807218e-13,2.764573373076812e-12,1.011652912104762e-12,2.5802191925144687e-12
52,26.0,8.338819843721073e-13,2.1673018977718656e-12,9.840450561396724e-13,2.157392889818348e-12
53,26.5,7.957977609616879e-13,1.9534656973013415e-12,9.250649575186601e-13,1.932048892131577e-12
54,27.0,7.603701410698247e-13,1.8319940335774906e-12,8.951473051253469e-13,1.7332676517001443e-12
55,27.5,7.274301003227809e-13,1.79084097386275e-12,8.630375993890789e-13,1.9285739512912697e-12
56,28.0,6.96604873628497e-13,1.7704327450215526e-12,8.090369627800546e-13,1.6780650815198585e-12
57,28.5,6.678903700691017e-13,1.6646157429577264e-12,7.85291008958377e-13,1.6115931371953172e-12
58,29.0,6.409027602631569e-13,1.4408655713176655e-12,7.555089022383397e-13,1.437648119838342e-12
59,29.5,6.155639252508221e-13,1.3162238870909087e-12,7.345411799369814e-13,1.2914069254066226e-12
60,30.0,5.919746715676407e-13,1.1654303362616432e-12,6.800338793869314e-13,1.137305480263899e-12
61,30.5,5.695649184374136e-13,1.1250825740478957e-12,6.993391890250174e-13,1.1194859782059982e-12
62,31.0,5.485307394555486e-13,1.1000487166471645e-12,6.348555650289127e-13,1.14237761999544e-12
63,31.5,5.286640241969218e-13,9.605678489160785e-13,6.333676600248156e-13,9.458385391594852e-13
64,32.0,5.099259067357826e-13,8.974667964217664e-13,6.256285613166212e-13,8.793434146453351e-13
65,32.5,4.921924853896628e-13,8.771817523028722e-13,5.720753255724145e-13,8.649970925669022e-13
66,33.0,4.754050567809742e-13,8.398442596296102e-13,5.714753419507933e-13,7.880894211141426e-13
67,33.5,4.594958437136661e-13,7.57350167300187e-13,5.491802791476771e-13,7.810803079657618e-13
68,34.0,4.4440024215398585e-13,7.800188030341744e-13,5.355661941515494e-13,7.621716398527153e-13
69,34.5,4.3006315824519507e-13,7.047447442811305e-13,5.060685503579669e-13,7.007224688796773e-13
70,35.0,4.1643586972448084e-13,6.599940789679456e-13,5.059223383475947e-13,6.192972326766317e-13
71,35.5,4.034645362752863e-13,6.10052776173821e-13,4.819135408879288e-13,6.302101948153299e-13
72,36.0,3.9111312318118107e-13,5.765478784042886e-13,4.788274484414758e-13,5.117086721245789e-13
73,36.5,3.793393459454021e-13,5.315305047037725e-13,4.53177931861691e-13,5.452869640432292e-13
74,37.0,3.681063122402108e-13,4.913040004182165e-13,4.543943927469803e-13,5.032508873016339e-13
75,37.5,3.573803369891152e-13,5.406982964986713e-13,4.1226374549346474e-13,5.327566718395286e-13
76,38.0,3.4713247754718387e-13,4.948618902809056e-13,4.3215540009427655e-13,4.626805935222352e-13
77,38.5,3.373319438647468e-13,4.350625702805666e-13,3.9850982866894955e-13,4.3448452247744645e-13
78,39.0,3.2795463103758566e-13,4.2711785154027656e-13,4.016313478217748e-13,4.229973184095282e-13
79,39.5,3.1897374893444854e-13,4.1396553628491566e-13,3.8357631983538305e-13,4.235260120837944e-13
80,40.0,3.103686741365878e-13,3.9650278617202854e-13,3.8763581929167134e-13,3.7737125488224495e-13
81,40.5,3.02116351177986e-13,4.031626751300206e-13,3.584257546363859e-13,3.937593526830981e-13
82,41.0,2.9419954369903407e-13,3.560333262726253e-13,3.572504860904818e-13,3.512282015409253e-13
83,41.5,2.8659815277730874e-13,3.3557579141578584e-13,3.5375274312268004e-13,3.402303003961639e-13
84,42.0,2.79296251383737e-13,3.066772417724431e-13,3.229283286875168e-13,2.923258986640056e-13
85,42.5,2.7227761463836883e-13,3.4952799947465366e-13,3.416117868614119e-13,3.4446616983166896e-13
86,43.0,2.655273953904561e-13,3.167814790005493e-13,3.250193670145499e-13,3.1855093708867023e-13
87,43.5,2.590321930858365e-13,2.8304110555580216e-13,3.1100184248056457e-13,2.820623185673768e-13
88,44.0,2.527787612719483e-13,2.9060253713230024e-13,3.1676089592448346e-13,2.8204023137970535e-13
89,44.5,2.467552100027014e-13,2.665853533179999e-13,2.969366632170275e-13,2.5420200169327417e-13
90,45.0,2.409500297082482e-13,2.63995215712882e-13,2.889414981243595e-13,2.6555825583801825e-13
91,45.5,2.353528275926088e-13,2.623542690342581e-13,2.9512082520082867e-13,2.5151755753153504e-13
92,46.0,2.2995334499901537e-13,2.558438887769722e-13,2.7524168284312286e-13,2.5672816300474356e-13
93,46.5,2.2474242439062966e-13,2.291049384951766e-13,2.793379629935012e-13,2.292579400436879e-13
94,47.0,2.1971116838962643e-13,2.2479033001633644e-13,2.6304012962972633e-13,2.1644205160823576e-13
